city,cost_one_person_usd,rent_one_person_usd,monthly_salary_after_tax_usd,income_after_rent_usd,months_covered,cost_one_person_inr,rent_one_person_inr,monthly_salary_after_tax_inr,income_after_rent_inr,usd_to_inr_rate_used,source_url
India vs Thailand - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/thailand
Cost of Living in Tamil Nadu,370.0,128.0,330.0,202.0,0.9,32509.61,11246.57,28995.05,17748.49,87.8638,https://livingcost.org/cost/india/tn
Cost of Living in Chennai,470.0,159.0,321.0,162.0,0.7,41295.99,13970.34,28204.28,14233.94,87.8638,https://livingcost.org/cost/india/tn/chennai
Cost of Living in Coimbatore,355.0,114.0,389.0,275.0,1.2,31191.65,10016.47,34179.02,24162.54,87.8638,https://livingcost.org/cost/india/tn/coimbatore
Cost of Living in Madurai,646.0,97.4,322.0,224.6,0.9,56760.01,8557.93,28292.14,19734.21,87.8638,https://livingcost.org/cost/india/tn/madurai
Cost of Living in Tripura,362.0,101.0,387.0,286.0,1.1,31806.7,8874.24,34003.29,25129.05,87.8638,https://livingcost.org/cost/india/tr
India vs Turkey - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/turkey
India vs United Arab Emirates - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/united-arab-emirates
India vs United Kingdom - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/united-kingdom
India vs United States - Cost of Living Comparison,424.0,185.0,334.0,149.0,0.8,37254.25,16254.8,29346.51,13091.71,87.8638,https://livingcost.org/cost/india/united-states
Cost of Living in Uttar Pradesh,329.0,107.0,419.0,312.0,1.3,28907.19,9401.43,36814.93,27413.51,87.8638,https://livingcost.org/cost/india/up
Cost of Living in Agra,264.0,109.0,564.0,455.0,1.5,23196.04,9577.15,49555.18,39978.03,87.8638,https://livingcost.org/cost/india/up/agra
Cost of Living in Allahabad,386.0,105.0,387.0,282.0,1.3,33915.43,9225.7,34003.29,24777.59,87.8638,https://livingcost.org/cost/india/up/allahabad
